sector,event,date,UTC,TJD,cadence_no
1,start,2018-07-25,19:00:27,1325.29278,70444
1,end,2018-08-22,16:14:51,1353.17778,90519
2,start,2018-08-23,14:24:19,1354.10102,91186
2,end,2018-09-20,00:19:52,1381.51460,110922
3,start,2018-09-20, 12:56:15, 1382.03987, 111297
3,end,2018-10-17, 21:17:58, 1409.38829, 130988
4,start,2018-10-19,09:34:28,1410.89974,132081
4,end,2018-11-14,08:21:39,1436.84918,150764
5,start,2018-11-15,07:47:48,1437.82566,151467
5,end,2018-12-11,21:35:39,1464.40056,170601
6,start,2018-12-15, 18:27:38, 1468.26998, 173387
6,end,2019-01-06, 13:01:37, 1490.04359, 189064
7,start,2019-01-08,02:59:37,1491.62553,190203
7,end,2019-02-01,14:01:3,1516.08524,207814
8,start,2019-02-02, 20:09:35, 1517.34150, 208718
8,end,2019-02-27, 11:57:34, 1541.99982, 226472
9,start,2019-03-01,-06:00:00,1543.75080,227733
9,end,2019-03-25,23:21:33,1568.47481,245534
10,start,2019-03-26,22:19:33,1569.43176,246223
10,end,2019-04-22,04:17:32,1595.68036,265122
11,start,2019-04-23,06:29:32,1596.77203,265908
11,end,2019-05-20,09:21:31,1623.89147,285434
12,start,2019-05-21,10:45:31,1624.94979,286196
12,end,2019-06-18,09:21:30,1652.89144,306314
13,start,2019-06-19,09:55:30,1653.91505,307051
13,end,2019-07-17,20:31:29,1682.35670,327529
